iter	Passed	Remaining
450	1071	1303
451	1072	1300
452	1074	1297
453	1076	1294
454	1078	1291
455	1080	1288
456	1081	1285
457	1084	1282
458	1085	1279
459	1087	1276
460	1089	1273
461	1091	1270
462	1093	1267
463	1094	1264
464	1096	1261
465	1098	1259
466	1100	1256
467	1102	1253
468	1104	1251
469	1106	1248
470	1108	1245
471	1110	1242
472	1112	1239
473	1114	1236
474	1116	1233
475	1118	1230
476	1119	1227
477	1121	1225
478	1123	1222
479	1125	1219
480	1127	1216
481	1128	1213
482	1131	1210
483	1132	1207
484	1134	1205
485	1136	1202
486	1138	1199
487	1140	1196
488	1142	1193
489	1144	1190
490	1146	1188
491	1148	1185
492	1149	1182
493	1151	1179
494	1153	1176
495	1155	1173
496	1157	1170
497	1159	1168
498	1161	1166
499	1163	1163
500	1164	1160
501	1166	1157
502	1168	1154
503	1170	1151
504	1171	1148
505	1173	1145
506	1176	1143
507	1178	1140
508	1179	1138
509	1181	1135
510	1183	1132
511	1185	1129
512	1187	1127
513	1189	1124
514	1191	1122
515	1193	1119
516	1195	1116
517	1197	1114
518	1199	1111
519	1200	1108
520	1202	1105
521	1204	1103
522	1206	1100
523	1208	1097
524	1210	1095
525	1212	1092
526	1214	1089
527	1215	1086
528	1217	1084
529	1219	1081
530	1221	1079
531	1223	1076
532	1225	1073
533	1227	1071
534	1229	1068
535	1231	1065
536	1233	1063
537	1234	1060
538	1237	1058
539	1238	1055
540	1240	1052
541	1242	1049
542	1244	1046
543	1245	1044
544	1247	1041
545	1249	1038
546	1251	1036
547	1253	1034
548	1255	1031
549	1257	1028
550	1258	1025
551	1260	1023
552	1262	1020
553	1264	1017
554	1266	1015
555	1268	1013
556	1270	1010
557	1272	1007
558	1273	1005
559	1275	1002
560	1277	999
561	1279	996
562	1282	995
563	1283	992
564	1285	989
565	1287	987
566	1289	984
567	1290	981
568	1292	979
569	1294	976
570	1296	974
571	1298	971
572	1300	968
573	1301	966
574	1303	963
575	1305	960
576	1307	958
577	1309	955
578	1311	953
579	1312	950
580	1314	948
581	1316	945
582	1318	942
583	1319	940
584	1321	937
585	1323	935
586	1325	932
587	1327	930
588	1329	927
589	1331	925
590	1333	922
591	1334	919
592	1336	917
593	1338	914
594	1339	912
595	1342	909
596	1344	907
597	1345	904
598	1347	902
599	1349	899
600	1351	897
601	1353	894
602	1355	892
603	1357	889
604	1359	887
605	1360	884
606	1362	882
607	1364	879
608	1366	877
609	1367	874
610	1369	871
611	1371	869
612	1373	867
613	1375	864
614	1377	862
615	1378	859
616	1380	856
617	1382	854
618	1383	851
619	1385	849
620	1387	846
621	1389	844
622	1391	842
623	1393	839
624	1395	837
625	1397	834
626	1398	832
627	1400	829
628	1402	827
629	1404	825
630	1406	822
631	1408	819
632	1409	817
633	1411	814
634	1413	812
635	1414	809
636	1416	807
637	1418	804
638	1420	802
639	1422	799
640	1423	797
641	1425	794
642	1427	792
643	1429	790
644	1431	787
645	1432	784
646	1434	782
647	1436	780
648	1438	777
649	1440	775
650	1441	772
651	1443	770
652	1445	768
653	1446	765
654	1449	763
655	1450	760
656	1452	758
657	1454	755
658	1455	753
659	1457	750
660	1459	748
661	1460	745
662	1462	743
663	1465	741
664	1467	739
665	1468	736
666	1470	734
667	1472	731
668	1474	729
669	1475	726
670	1477	724
671	1479	722
672	1481	719
673	1483	717
674	1485	715
675	1487	712
676	1488	710
677	1490	707
678	1492	705
679	1494	703
680	1496	701
681	1498	698
682	1499	696
683	1501	693
684	1503	691
685	1505	689
686	1507	686
687	1509	684
688	1511	682
689	1513	679
690	1515	677
691	1517	675
692	1519	672
693	1520	670
694	1522	668
695	1524	666
696	1527	663
697	1528	661
698	1530	659
699	1532	656
700	1534	654
701	1536	652
702	1537	649
703	1539	647
704	1541	645
705	1543	642
706	1545	640
707	1547	638
708	1549	635
709	1550	633
710	1552	631
711	1554	628
712	1556	626
713	1558	624
714	1560	622
715	1562	619
716	1564	617
717	1565	615
718	1567	612
719	1569	610
720	1571	608
721	1573	605
722	1574	603
723	1576	601
724	1578	598
725	1579	596
726	1581	593
727	1583	591
728	1585	589
729	1587	587
730	1589	584
731	1590	582
732	1592	580
733	1594	577
734	1596	575
735	1598	573
736	1599	570
737	1602	568
738	1604	566
739	1606	564
740	1608	562
741	1610	559
742	1612	557
743	1613	555
744	1615	553
745	1617	550
746	1619	548
747	1621	546
748	1623	544
749	1625	541
750	1627	539
751	1628	537
752	1630	534
753	1632	532
754	1634	530
755	1636	528
756	1638	526
757	1640	523
758	1642	521
759	1644	519
760	1646	517
761	1648	514
762	1650	512
763	1652	510
764	1653	508
765	1655	505
766	1657	503
767	1659	501
768	1662	499
769	1664	497
770	1665	494
771	1667	492
772	1669	490
773	1671	488
