iter	RMSE
248	3831.912714
249	3829.576369
250	3826.322529
251	3822.832527
252	3820.295149
253	3817.222017
254	3814.816864
255	3813.770144
256	3811.354759
257	3810.4031
258	3808.591167
259	3805.716976
260	3804.075071
261	3801.753911
262	3800.633091
263	3798.875247
264	3797.067052
265	3794.1977
266	3791.368167
267	3789.669672
268	3787.193304
269	3784.392959
270	3783.832474
271	3782.337591
272	3779.460541
273	3777.378998
274	3776.9829
275	3774.766001
276	3772.980291
277	3772.324625
278	3769.565054
279	3769.281238
280	3767.5833
281	3766.638342
282	3764.949567
283	3763.260126
284	3761.291455
285	3760.503279
286	3758.04864
287	3757.330228
288	3756.398934
289	3752.725271
290	3750.642857
291	3749.882855
292	3748.76539
293	3745.91669
294	3745.523908
295	3742.697435
296	3742.035332
297	3740.346677
298	3738.217843
299	3737.871126
300	3733.642092
301	3733.282268
302	3731.551584
303	3729.857461
304	3727.318669
305	3725.330991
306	3722.544342
307	3721.937203
308	3719.220891
309	3717.513563
310	3715.507163
311	3711.76923
312	3709.24564
313	3708.027156
314	3704.050201
315	3702.823598
316	3699.235754
317	3697.788161
318	3697.490242
319	3697.033149
320	3695.632502
321	3694.339506
322	3689.929934
323	3689.485271
324	3686.88444
325	3685.1304
326	3683.687161
327	3679.672032
328	3679.366251
329	3678.684233
330	3678.458682
331	3674.397828
332	3673.768787
333	3673.49461
334	3670.898657
335	3668.484494
336	3667.681302
337	3666.464879
338	3665.80086
339	3663.048527
340	3660.857161
341	3657.435771
342	3653.562545
343	3650.245953
344	3647.249769
345	3645.876547
346	3642.702283
347	3638.145792
348	3636.123523
349	3634.177731
350	3630.505119
351	3630.259992
352	3628.852743
353	3627.290888
354	3625.792439
355	3623.872895
356	3621.976008
357	3620.627433
358	3619.50867
359	3619.236599
360	3616.669494
361	3616.291275
362	3614.749115
363	3612.199057
364	3612.021871
365	3609.772218
366	3608.749481
367	3607.45762
368	3605.307507
369	3601.019485
370	3599.934346
371	3595.734664
372	3593.083069
373	3592.420834
374	3591.775936
375	3589.989745
376	3588.076895
377	3585.262236
378	3584.026963
379	3582.801899
380	3582.581262
381	3580.825909
382	3580.089777
383	3578.967212
384	3575.421289
385	3571.708124
386	3569.694584
387	3568.844653
388	3567.194109
389	3566.682969
390	3564.761634
391	3564.525676
392	3562.590888
393	3560.142822
394	3557.13513
395	3553.64767
396	3552.773267
397	3549.303592
398	3545.909274
399	3544.532319
400	3541.683996
401	3538.761906
402	3537.388474
403	3534.561795
404	3533.993864
405	3532.224937
406	3530.129396
407	3529.204158
408	3528.637595
409	3528.069035
410	3526.816378
411	3524.05112
412	3521.988249
413	3521.513077
414	3520.357219
415	3518.606971
416	3517.731085
417	3516.540253
418	3514.209611
419	3512.823858
420	3509.500891
421	3507.186219
422	3506.644314
423	3505.186628
424	3503.583711
425	3501.661259
426	3499.723524
427	3497.553918
428	3497.008598
429	3496.475938
430	3494.873285
431	3491.347312
432	3489.70333
433	3488.17165
434	3486.749846
435	3486.564602
436	3484.833329
437	3481.19114
438	3480.686011
439	3478.157297
440	3476.36753
441	3473.632742
442	3472.371907
443	3472.257818
444	3471.271681
445	3469.263752
446	3465.816962
447	3463.192804
448	3461.231859
449	3459.384836
450	3456.389617
451	3454.065254
452	3453.799129
453	3452.324868
454	3450.92749
455	3450.547095
456	3449.834117
457	3446.188532
458	3445.496577
459	3443.89592
460	3442.933965
461	3439.20217
462	3438.508978
463	3435.956939
464	3433.014243
465	3429.827714
466	3428.339032
467	3426.932836
468	3425.428404
469	3424.927934
470	3423.094835
471	3421.01866
472	3417.358382
473	3417.118144
474	3415.309502
475	3414.96411
476	3414.04306
477	3411.758286
478	3409.680931
479	3408.197844
480	3406.804847
481	3406.353969
482	3404.982782
483	3402.720397
484	3402.064933
485	3401.654021
486	3399.662729
487	3397.527171
488	3396.292899
489	3395.428328
490	3394.86187
491	3392.760088
492	3392.302317
493	3391.985768
494	3389.606284
495	3387.104685
496	3385.275932
497	3382.564393
498	3380.935459
499	3379.613662
500	3376.291363
501	3374.649306
502	3373.652066
503	3371.342548
504	3370.145695
505	3368.331603
506	3366.606572
507	3365.577228
508	3363.439935
509	3360.204473
510	3359.045463
511	3355.332138
512	3354.69802
513	3353.629305
514	3352.41086
515	3352.230391
516	3349.909672
517	3346.768303
518	3344.051935
519	3343.451947
520	3341.453217
521	3339.842607
522	3337.909088
523	3337.570713
524	3335.969295
525	3333.433701
526	3331.05847
527	3329.928585
528	3328.694727
529	3327.6794
530	3326.234422
531	3322.248917
532	3321.812812
533	3319.875754
534	3319.181133
535	3318.490622
536	3318.107276
537	3317.702633
538	3316.437096
539	3314.909452
540	3313.475217
541	3311.283044
542	3311.115684
543	3310.701587
544	3309.767798
545	3306.36402
546	3305.120823
547	3302.136818
548	3301.051013
549	3299.213582
550	3296.474105
551	3295.821232
552	3293.725481
553	3290.973007
554	3289.718327
555	3285.786698
556	3283.915781
557	3282.558454
558	3282.259693
559	3281.770857
560	3280.795319
561	3278.489804
562	3275.721881
563	3273.999159
564	3273.179448
565	3272.703211
566	3271.611376
567	3270.043564
568	3269.366326
569	3268.909404
570	3267.447689
571	3266.928962
572	3263.814917
573	3260.839578
574	3259.734313
575	3258.857773
576	3257.587392
577	3256.224868
578	3254.982013
579	3254.424171
580	3251.722937
581	3251.209407
582	3249.688188
583	3247.813321
584	3246.946196
585	3246.183757
586	3245.87559
587	3242.155717
588	3241.094038
589	3239.972186
590	3239.015245
591	3238.230769
592	3237.639256
593	3235.840999
594	3233.523481
595	3231.059381
596	3228.952871
597	3228.74873
598	3226.833508
599	3225.775011
600	3223.803635
601	3222.680336
602	3221.576123
603	3217.42728
604	3217.308843
605	3215.072859
606	3214.938089
607	3214.073832
608	3213.405472
609	3212.835612
610	3209.92741
611	3209.317275
612	3208.878198
613	3206.300719
614	3206.193144
615	3205.686933
616	3205.06597
617	3202.078806
618	3201.946449
619	3201.427914
620	3198.833665
621	3197.924838
622	3197.296688
623	3195.921956
624	3194.435094
625	3191.835444
626	3191.414331
627	3190.917921
628	3190.420965
629	3189.327046
630	3186.763123
631	3185.701377
632	3183.890745
633	3181.245283
634	3179.689794
635	3178.505724
636	3176.034363
637	3175.927286
638	3174.976372
639	3173.138331
640	3170.925235
641	3168.389762
642	3167.406164
643	3165.399467
644	3164.087413
645	3163.228016
646	3162.550118
647	3160.71193
648	3160.233111
649	3159.478526
650	3158.627473
651	3157.098462
652	3156.307243
653	3155.958322
654	3155.846332
655	3155.769686
656	3154.140499
657	3153.955731
658	3153.338941
659	3150.887221
660	3148.928537
661	3148.304975
662	3146.887436
663	3145.575129
664	3142.504251
665	3140.036032
666	3139.127145
667	3137.515848
668	3135.192457
669	3134.636406
670	3132.542459
671	3131.98533
672	3131.900272
673	3131.068665
674	3129.117437
675	3126.689283
676	3126.36262
677	3125.471633
678	3125.003542
679	3123.465803
680	3121.989398
681	3121.540642
682	3121.473646
683	3120.496573
684	3119.210544
685	3118.857384
686	3116.773578
687	3114.520205
688	3113.939101
689	3110.630239
690	3109.946147
691	3108.176627
692	3106.347121
693	3104.337669
694	3102.710413
695	3101.609758
696	3097.850345
697	3096.221374
698	3094.697757
699	3092.310413
700	3091.486491
701	3089.8217
702	3086.88883
703	3085.435227
704	3083.200695
705	3081.365308
706	3078.426151
707	3076.377474
708	3075.009534
709	3073.593335
710	3073.263628
711	3071.00164
712	3070.853077
713	3069.329114
714	3066.846469
715	3064.610804
716	3062.961522
717	3061.960842
718	3060.918607
719	3059.661909
720	3059.223928
721	3057.787344
722	3056.990248
723	3056.17157
724	3054.936793
725	3052.18116
726	3051.219805
727	3049.401369
728	3048.344044
729	3047.866642
730	3046.146072
731	3045.363771
732	3044.524354
733	3044.17799
734	3042.481197
735	3041.010723
736	3040.588012
737	3039.035604
738	3037.18502
739	3034.899385
740	3033.046158
741	3031.467371
742	3030.008881
743	3029.861309
744	3029.395452
745	3026.498405
746	3025.226411
747	3023.776892
748	3022.871351
749	3022.336085
750	3020.445451
751	3020.024163
752	3019.733544
753	3016.223333
754	3016.135559
755	3014.223947
756	3010.99325
757	3009.509493
758	3009.143891
759	3008.667592
760	3007.735428
761	3005.350875
762	3003.195008
763	3002.166659
764	3000.402004
765	2998.108641
766	2996.89689
767	2996.24354
768	2993.985266
769	2990.28358
770	2988.948273
771	2987.950864
772	2986.168453
773	2985.113492
774	2984.28007
775	2983.283243
776	2981.795868
777	2979.854558
778	2978.214376
779	2977.536661
780	2975.478848
781	2974.320478
782	2973.431542
783	2973.218358
784	2971.353621
785	2970.160824
786	2969.439849
787	2968.670393
788	2967.098039
789	2966.610133
790	2964.853937
791	2962.315622
792	2962.006446
793	2960.893955
794	2958.837969
795	2957.219183
796	2956.71076
797	2955.717654
798	2955.145438
799	2953.651975
800	2952.363963
801	2951.720404
802	2951.113323
803	2950.981287
804	2949.726632
805	2949.261725
806	2947.538856
807	2945.202402
808	2943.957476
809	2943.026289
810	2942.727257
811	2941.214129
812	2939.624478
813	2938.094434
814	2935.940302
815	2935.055509
816	2934.568308
817	2933.747329
818	2931.738327
819	2931.332872
820	2930.451107
821	2927.898399
822	2926.183314
823	2925.768744
824	2924.827675
825	2923.053535
826	2922.587492
827	2921.469449
828	2919.739816
829	2919.048621
830	2918.693997
831	2917.891263
832	2916.335383
833	2915.347796
834	2913.006711
835	2912.5605
836	2911.852162
837	2911.189663
838	2909.137217
839	2908.495004
840	2907.777393
841	2907.406229
842	2905.920043
843	2905.570763
844	2904.916806
845	2904.573282
846	2903.585657
847	2901.492854
848	2899.794356
849	2898.001029
850	2897.678737
851	2896.190929
852	2895.874428
853	2895.235604
854	2893.221807
855	2892.475089
856	2891.80973
857	2888.910362
858	2888.245193
859	2886.639488
860	2886.210271
861	2885.887819
862	2884.22729
863	2881.510921
864	2880.812924
865	2878.64627
866	2877.631813
867	2876.792828
868	2876.163209
869	2875.697698
870	2875.160549
871	2874.638792
872	2873.472502
873	2873.04178
874	2872.190348
875	2871.890007
876	2870.96927
877	2869.371525
878	2868.341292
879	2865.591109
880	2864.889916
881	2863.927913
882	2861.855117
883	2859.516615
884	2858.804396
885	2856.339625
886	2854.636632
887	2854.345084
888	2853.821917
889	2853.538746
890	2849.969317
891	2848.726936
892	2847.510977
893	2845.17156
894	2844.897539
895	2844.051955
896	2841.442853
897	2840.02015
898	2839.201809
899	2838.762009
900	2837.622239
901	2836.385921
902	2835.774055
903	2834.996367
904	2834.60743
905	2834.325082
906	2834.089215
907	2832.721546
908	2832.32973
909	2831.463535
910	2828.662842
911	2827.936394
912	2826.756207
913	2824.300665
914	2823.878563
915	2822.904812
916	2820.3124
917	2819.725814
918	2816.854104
919	2814.11551
920	2813.732671
921	2812.314159
922	2811.489059
923	2810.040104
924	2809.356254
925	2807.343953
926	2805.400982
927	2805.059495
928	2803.30305
929	2803.089993
930	2801.685624
931	2800.212373
932	2798.606367
933	2795.505924
934	2795.222434
935	2793.415395
936	2792.180216
937	2791.785151
938	2791.139546
939	2790.258875
940	2788.729724
941	2787.917815
942	2787.003718
943	2786.170197
944	2785.908376
945	2784.394599
946	2783.294163
947	2780.791797
948	2780.317885
949	2779.088524
950	2776.376292
951	2775.700671
952	2774.631621
953	2772.694881
954	2770.162986
955	2767.83468
956	2766.311743
957	2766.090349
958	2765.817271
959	2763.939459
960	2763.674112
961	2762.741859
962	2762.476163
963	2762.245231
964	2761.262547
965	2759.6684
966	2759.118661
967	2757.683517
968	2757.027914
969	2755.390052
970	2754.662341
971	2753.012962
972	2752.866417
973	2752.323366
974	2751.101614
975	2748.506787
976	2746.969989
977	2746.382529
978	2744.474125
979	2743.932537
980	2741.493637
981	2741.05112
982	2739.121144
983	2736.686587
984	2735.459076
985	2734.721966
986	2733.681889
987	2732.962611
988	2731.989625
989	2731.78181
990	2728.754312
991	2728.514825
992	2727.921254
993	2726.33043
994	2724.650022
995	2724.145917
996	2723.029157
997	2722.435093
998	2721.878409
999	2720.407201
